win,Color,First Dragon Count,First Inhibitor Count,First Blood Count,First Tower Count,Avg Baron Kills,Avg Inhibitor Kills,Avg Tower Kills,Avg Total Gold,Avg Dragon Kills
2885555398,Blue,0,1,0,1,1.0,3.0,11.0,54966.0,1.0
2885555398,Red,1,0,1,0,0.0,0.0,3.0,41394.0,1.0
2885579729,Blue,1,0,1,0,1.0,0.0,4.0,47215.0,2.0
2885579729,Red,0,1,0,1,0.0,1.0,7.0,55106.0,1.0
2886198954,Blue,1,0,1,1,0.0,0.0,2.0,41794.0,1.0
2886198954,Red,0,1,0,0,0.0,3.0,11.0,52680.0,1.0
2886204374,Blue,0,0,0,0,0.0,0.0,0.0,39000.0,1.0
2886204374,Red,1,1,1,1,0.0,2.0,10.0,52920.0,2.0
2886265663,Blue,0,1,0,1,1.0,4.0,11.0,57395.0,1.0
2886265663,Red,1,0,1,0,0.0,0.0,3.0,49275.0,1.0
2886315924,Blue,1,1,1,1,0.0,2.0,8.0,54117.0,1.0
2886315924,Red,0,0,0,0,0.0,0.0,2.0,43649.0,0.0
2886384326,Blue,1,1,1,0,1.0,2.0,8.0,57224.0,2.0
2886384326,Red,0,0,0,1,0.0,0.0,2.0,49328.0,1.0
2886391251,Blue,1,0,1,1,0.0,0.0,2.0,43405.0,2.0
2886391251,Red,0,0,0,0,0.0,0.0,4.0,50198.0,1.0
2886562789,Blue,1,0,0,1,0.0,0.0,5.0,52922.0,2.0
2886562789,Red,0,0,1,0,0.0,0.0,4.0,47096.0,0.0
2886589013,Blue,1,0,0,1,0.0,0.0,2.0,41794.0,1.0
2886589013,Red,0,1,1,0,0.0,1.0,10.0,56023.0,2.0
2886640359,Blue,1,0,1,1,0.0,0.0,6.0,47406.0,2.0
2886640359,Red,0,0,0,0,0.0,0.0,2.0,40630.0,0.0
2886644280,Blue,0,1,1,1,1.0,2.0,9.0,52332.0,1.0
2886644280,Red,1,0,0,0,0.0,0.0,4.0,45328.0,2.0
2886774092,Blue,0,1,0,1,0.0,2.0,10.0,52937.0,0.0
2886774092,Red,0,0,1,0,0.0,0.0,2.0,47372.0,0.0
2886811337,Blue,0,0,1,1,0.0,0.0,6.0,53062.0,1.0
2886811337,Red,1,0,0,0,0.0,0.0,4.0,44488.0,1.0
2886856888,Blue,0,0,1,0,0.0,0.0,0.0,36233.0,0.0
2886856888,Red,1,1,0,1,1.0,1.0,9.0,55152.0,1.0
2886907332,Blue,1,1,1,1,1.0,1.0,9.0,58746.0,2.0
2886907332,Red,0,0,0,0,0.0,0.0,1.0,47325.0,1.0
2887069079,Blue,1,1,1,1,0.0,3.0,11.0,62098.0,3.0
2887069079,Red,0,0,0,0,1.0,0.0,0.0,44493.0,0.0
2887071707,Blue,1,1,1,1,1.0,1.0,8.0,54721.0,3.0
2887071707,Red,0,0,0,0,0.0,0.0,2.0,45891.0,0.0
2887356603,Blue,1,1,1,1,0.0,1.0,9.0,56388.0,2.0
2887356603,Red,0,0,0,0,0.0,0.0,3.0,43907.0,1.0
2887376532,Blue,0,1,1,1,0.0,1.0,9.0,55254.0,1.0
2887376532,Red,1,0,0,0,0.0,0.0,1.0,44137.0,1.0
2887666047,Blue,0,0,0,0,0.0,0.0,1.0,45919.0,0.0
2887666047,Red,1,1,1,1,0.0,3.0,11.0,56322.0,3.0
2887899820,Blue,0,0,0,0,0.0,0.0,0.0,36399.0,0.0
2887899820,Red,1,1,1,1,1.0,1.0,9.0,55361.0,3.0
2888062194,Blue,0,1,0,1,1.0,1.0,7.0,57231.0,1.0
2888062194,Red,1,0,1,0,0.0,0.0,3.0,46973.0,1.0
2888126964,Blue,1,0,1,1,0.0,0.0,4.0,49976.0,2.0
2888126964,Red,0,1,0,0,0.0,1.0,8.0,53504.0,1.0
2888149853,Blue,0,1,1,1,1.0,1.0,7.0,54918.0,1.0
2888149853,Red,1,0,0,0,0.0,0.0,5.0,49118.0,1.0
2888175467,Blue,1,0,0,1,1.0,1.0,6.0,48713.0,1.0
2888175467,Red,0,1,1,0,0.0,1.0,5.0,47337.0,1.0
2888392309,Blue,0,1,1,0,0.0,3.0,9.0,51939.0,0.0
2888392309,Red,1,0,0,1,1.0,0.0,3.0,49169.0,2.0
2888392898,Blue,0,0,1,0,0.0,0.0,3.0,43459.0,2.0
2888392898,Red,1,1,0,1,1.0,3.0,11.0,52425.0,1.0
2888666377,Blue,0,0,1,0,0.0,0.0,1.0,47613.0,0.0
2888666377,Red,1,1,0,1,1.0,1.0,9.0,64301.0,3.0
2888703141,Blue,0,0,1,0,0.0,0.0,1.0,44000.0,0.0
2888703141,Red,1,1,0,1,0.0,2.0,9.0,59080.0,3.0
2888717236,Blue,0,1,0,1,1.0,3.0,10.0,59272.0,1.0
2888717236,Red,1,0,1,0,0.0,0.0,1.0,44108.0,2.0
2888839596,Blue,0,1,0,1,0.0,1.0,5.0,44757.0,0.0
2888839596,Red,1,0,1,0,1.0,2.0,9.0,55989.0,2.0
2888929971,Blue,1,1,1,1,0.0,3.0,11.0,58417.0,2.0
2888929971,Red,0,0,0,0,1.0,0.0,3.0,54036.0,0.0
2888952277,Blue,1,1,1,1,0.0,2.0,10.0,59398.0,2.0
2888952277,Red,0,0,0,0,0.0,0.0,1.0,40411.0,0.0
2889048008,Blue,0,0,0,1,1.0,0.0,2.0,47797.0,1.0
2889048008,Red,1,0,1,0,0.0,0.0,3.0,42319.0,1.0
2889119158,Blue,0,1,1,0,0.0,1.0,4.0,51406.0,1.0
2889119158,Red,1,0,0,1,0.0,0.0,5.0,48445.0,1.0
2889170701,Blue,0,0,0,0,0.0,0.0,1.0,44194.0,0.0
2889170701,Red,1,1,1,1,0.0,1.0,9.0,57259.0,2.0
2889322816,Blue,0,0,0,0,0.0,0.0,4.0,45564.0,1.0
2889322816,Red,1,1,1,1,0.0,1.0,9.0,54305.0,2.0
2889325165,Blue,1,1,0,1,1.0,2.0,9.0,56482.0,2.0
2889325165,Red,0,0,1,0,0.0,0.0,1.0,42940.0,1.0
2889373999,Blue,1,1,1,1,1.0,1.0,9.0,60329.0,3.0
2889373999,Red,0,0,0,0,0.0,0.0,3.0,44386.0,0.0
2889403321,Blue,0,1,0,1,1.0,2.0,9.0,54940.0,2.0
2889403321,Red,1,0,1,0,0.0,0.0,1.0,43115.0,1.0
2889516063,Blue,0,0,0,1,0.0,0.0,4.0,50480.0,1.0
2889516063,Red,1,1,1,0,1.0,1.0,7.0,54379.0,2.0
2889542738,Blue,1,0,0,0,0.0,0.0,1.0,42849.0,1.0
2889542738,Red,0,0,1,1,0.0,0.0,7.0,54478.0,2.0
2889842451,Blue,0,1,1,0,1.0,2.0,10.0,57663.0,1.0
2889842451,Red,1,0,0,1,0.0,0.0,3.0,44780.0,1.0
2889889342,Blue,1,1,0,1,0.0,1.0,5.0,52629.0,1.0
2889889342,Red,0,0,1,0,0.0,2.0,10.0,61315.0,2.0
2889935440,Blue,0,0,1,0,0.0,0.0,4.0,41332.0,1.0
2889935440,Red,1,1,0,1,1.0,2.0,11.0,55480.0,2.0
2889986322,Blue,1,0,1,0,0.0,0.0,2.0,39515.0,1.0
2889986322,Red,0,1,0,1,1.0,1.0,9.0,49400.0,1.0
2890045006,Blue,0,1,0,1,1.0,4.0,11.0,58634.0,2.0
2890045006,Red,1,0,1,0,0.0,0.0,1.0,44276.0,1.0
2890051491,Blue,1,1,0,1,0.0,1.0,10.0,57147.0,2.0
2890051491,Red,0,0,1,0,0.0,0.0,1.0,46657.0,0.0
