ind,gameID,1,2,3,4,5,6,7,8,9
31,2762583443,-48.33333333333334,620.0,177.66666666666663,-751.6666666666665,-1860.666666666667,449.0,1801.333333333333,-966.6666666666665,-481.0
32,2762616906,61.0,454.0,-558.6666666666666,-23.66666666666667,157.66666666666666,2946.333333333333,-2390.6666666666665,300.0,2414.6666666666665
33,2762647830,0.0,-117.0,409.5,1270.5,393.5,3570.0,-239.5,-2364.0,3160.0
34,2762677429,-250.0,52.0,332.5,-649.0,-1807.0,1803.0,2064.5,1990.5,1591.5
35,2762685802,-56.5,512.0,-671.5,-1439.5,2170.0,-903.0,136.5,2705.0,-613.0
36,2762716493,22.66666666666667,1055.3333333333333,-205.66666666666663,-555.3333333333334,-617.0,-2449.0,522.0,1837.0,339.6666666666667
37,2763199113,0.0,-163.5,226.0,-1350.5,546.0,202.5,1890.0,90.0,1031.0
38,2763216100,-3.333333333333333,900.6666666666665,1428.666666666667,-583.6666666666666,-17.666666666666668,27.33333333333333,860.0,1574.0,1122.6666666666667
39,2763625812,0.0,73.0,653.0,-1018.0,1111.5,352.0,3789.0,-1269.0,1087.0
40,2764094149,8.0,101.66666666666669,-365.33333333333326,352.33333333333326,-440.66666666666674,3967.666666666666,-745.0,1775.0,495.0
41,2764118415,-109.0,-503.66666666666674,-1267.6666666666667,1743.333333333333,449.33333333333326,-2049.6666666666665,614.0,-610.6666666666666,-1085.3333333333333
42,2764257293,37.333333333333336,129.0,-122.33333333333331,-1593.333333333333,1390.333333333333,-776.3333333333335,-243.0,-403.66666666666674,-90.0
43,2764321997,-50.0,-105.0,447.5,464.0,1447.0,2214.5,4546.5,-873.5,-9.5
44,2764362215,0.0,0.0,0.0,219.0,1542.0,2554.0,-1236.0,-1735.0,514.0
45,2764601921,0.0,475.0,-804.0,-473.5,-1345.5,-1244.0,-230.0,447.0,360.5
46,2764609800,6.333333333333332,488.33333333333326,2104.0,102.0,111.66666666666669,49.0,1626.333333333333,356.33333333333326,343.3333333333333
47,2764618872,-21.0,-809.5,-272.25,-1561.5,624.0,-415.5,-465.0,2030.75,-2269.25
48,2764632841,0.0,161.0,849.5,1518.0,-650.5,1359.0,-624.0,933.5,2711.0
49,2764829911,361.66666666666674,598.6666666666666,-80.66666666666667,-3521.333333333333,1916.333333333333,-1383.0,590.6666666666666,-3306.0,138.0
50,2765175660,12.5,135.5,-357.5,563.5,-461.5,3964.5,-40.5,2496.0,2689.0
51,2765289814,64.33333333333333,72.33333333333333,283.6666666666667,-230.0,-1921.333333333333,-57.33333333333334,-1388.0,640.0,2023.0
52,2765411393,-163.0,329.0,195.33333333333331,1623.333333333333,806.6666666666665,327.0,293.6666666666667,408.66666666666674,1045.0
53,2765496136,-200.0,-226.0,289.25,-209.5,-329.5,-48.75,1766.5,-910.5,-347.0
54,2766260855,0.0,229.5,233.5,-325.5,1840.0,724.0,-146.5,4220.5,1150.5
55,2766334061,0.0,-515.0,234.0,643.0,-1949.5,-958.5,1367.0,474.0,2189.5
56,2766372816,0.0,50.0,161.0,113.0,1714.0,-205.0,-31.0,-805.0,107.0
57,2766377503,-18.666666666666668,798.3333333333335,-779.0,-358.33333333333326,-754.6666666666665,3175.666666666666,2129.0,3002.333333333333,4404.0
58,2766659449,52.0,-165.66666666666666,-1761.0,-275.6666666666667,-2441.333333333333,457.66666666666674,1655.0,2932.0,284.6666666666667
59,2766665600,-60.0,-538.0,-360.66666666666674,1014.0,-2237.6666666666665,178.66666666666663,-742.3333333333335,-1274.6666666666667,533.0
