ind,gameID,winnerTotal,loserTotal,GoldDifference,bin
0,2762677429,1219.0,1167.0,52.0,2
0,2762677429,3536.5,3204.0,332.5,3
0,2762677429,2544.5,3193.5,-649.0,4
0,2762677429,2538.5,4345.5,-1807.0,5
0,2762677429,3727.5,1924.5,1803.0,6
0,2762677429,4594.0,2529.5,2064.5,7
0,2762677429,4397.0,2406.5,1990.5,8
0,2762677429,4089.5,2498.0,1591.5,9
0,2762685802,1255.5,1312.0,-56.5,1
0,2762685802,1645.0,1133.0,512.0,2
0,2762685802,2139.0,2810.5,-671.5,3
0,2762685802,2585.0,4024.5,-1439.5,4
0,2762685802,4327.0,2157.0,2170.0,5
0,2762685802,2854.5,3757.5,-903.0,6
0,2762685802,3127.5,2991.0,136.5,7
0,2762685802,6029.5,3324.5,2705.0,8
0,2762685802,3539.0,4152.0,-613.0,9
0,2762716493,983.6666666666666,961.0,22.666666666666668,1
0,2762716493,2806.0,1750.6666666666667,1055.3333333333333,2
0,2762716493,1934.3333333333333,2140.0,-205.66666666666666,3
0,2762716493,2393.6666666666665,2949.0,-555.3333333333334,4
0,2762716493,3040.3333333333335,3657.3333333333335,-617.0,5
0,2762716493,2459.0,4908.0,-2449.0,6
0,2762716493,3876.6666666666665,3354.6666666666665,522.0,7
0,2762716493,4509.333333333333,2672.3333333333335,1837.0,8
0,2762716493,3773.3333333333335,3433.6666666666665,339.6666666666667,9
0,2763199113,1250.0,1250.0,0.0,1
0,2763199113,906.5,1070.0,-163.5,2
0,2763199113,3188.5,2962.5,226.0,3
0,2763199113,2452.5,3803.0,-1350.5,4
0,2763199113,4072.5,3526.5,546.0,5
0,2763199113,2640.0,2437.5,202.5,6
0,2763199113,4729.0,2839.0,1890.0,7
0,2763199113,2790.0,2700.0,90.0,8
0,2763199113,4895.0,3864.0,1031.0,9
0,2763216100,966.0,969.3333333333334,-3.3333333333333335,1
0,2763216100,3257.0,2356.3333333333335,900.6666666666666,2
0,2763216100,4616.666666666667,3188.0,1428.6666666666667,3
0,2763216100,3038.3333333333335,3622.0,-583.6666666666666,4
0,2763216100,3908.3333333333335,3926.0,-17.666666666666668,5
0,2763216100,4969.666666666667,4942.333333333333,27.333333333333332,6
0,2763216100,3709.0,2849.0,860.0,7
0,2763216100,4898.0,3324.0,1574.0,8
0,2763216100,4807.0,3684.3333333333335,1122.6666666666667,9
0,2763625812,1250.0,1250.0,0.0,1
0,2763625812,1186.0,1113.0,73.0,2
0,2763625812,3130.0,2477.0,653.0,3
0,2763625812,1753.5,2771.5,-1018.0,4
0,2763625812,4574.5,3463.0,1111.5,5
0,2763625812,3351.0,2999.0,352.0,6
0,2763625812,6836.0,3047.0,3789.0,7
0,2763625812,2396.5,3665.5,-1269.0,8
0,2763625812,3696.5,2609.5,1087.0,9
0,2764094149,965.3333333333334,957.3333333333334,8.0,1
0,2764094149,2618.3333333333335,2516.6666666666665,101.66666666666667,2
0,2764094149,3186.6666666666665,3552.0,-365.3333333333333,3
0,2764094149,4042.6666666666665,3690.3333333333335,352.3333333333333,4
0,2764094149,2954.3333333333335,3395.0,-440.6666666666667,5
0,2764094149,7088.666666666667,3121.0,3967.6666666666665,6
0,2764094149,3005.6666666666665,3750.6666666666665,-745.0,7
0,2764094149,4689.666666666667,2914.6666666666665,1775.0,8
0,2764094149,3479.3333333333335,2984.3333333333335,495.0,9
0,2764118415,985.0,1094.0,-109.0,1
0,2764118415,2095.3333333333335,2599.0,-503.6666666666667,2
0,2764118415,2565.6666666666665,3833.3333333333335,-1267.6666666666667,3
0,2764118415,3850.3333333333335,2107.0,1743.3333333333333,4
0,2764118415,4375.0,3925.6666666666665,449.3333333333333,5
0,2764118415,2586.3333333333335,4636.0,-2049.6666666666665,6
0,2764118415,3535.0,2921.0,614.0,7
0,2764118415,3876.3333333333335,4487.0,-610.6666666666666,8
0,2764118415,3982.3333333333335,5067.666666666667,-1085.3333333333333,9
0,2764257293,993.6666666666666,956.3333333333334,37.333333333333336,1
0,2764257293,2867.0,2738.0,129.0,2
0,2764257293,4147.333333333333,4269.666666666667,-122.33333333333333,3
0,2764257293,3121.6666666666665,4715.0,-1593.3333333333333,4
0,2764257293,3537.3333333333335,2147.0,1390.3333333333333,5
0,2764257293,3022.3333333333335,3798.6666666666665,-776.3333333333334,6
0,2764257293,4600.0,4843.0,-243.0,7
0,2764257293,3394.6666666666665,3798.3333333333335,-403.6666666666667,8
0,2764257293,3412.0,3502.0,-90.0,9
0,2764321997,1250.0,1300.0,-50.0,1
0,2764321997,924.0,1029.0,-105.0,2
0,2764321997,3455.5,3008.0,447.5,3
0,2764321997,3458.0,2994.0,464.0,4
0,2764321997,3174.5,1727.5,1447.0,5
0,2764321997,4941.5,2727.0,2214.5,6
0,2764321997,7470.5,2924.0,4546.5,7
0,2764321997,2318.5,3192.0,-873.5,8
0,2764321997,2600.0,2609.5,-9.5,9
0,2764362215,2500.0,2500.0,0.0,1
0,2764362215,0.0,0.0,0.0,2
0,2764362215,393.0,393.0,0.0,3
0,2764362215,1806.0,1587.0,219.0,4
0,2764362215,3394.0,1852.0,1542.0,5
0,2764362215,5576.0,3022.0,2554.0,6
0,2764362215,3102.0,4338.0,-1236.0,7
